"number_overall","season","number_in_season","episode_name","animation_direction_by","written_and_storyboarded_by","original_air_date","us_viewers_mil","imdb_rating"
"212","7","21","Chili Cook Off","Robert Alvarez","Toby Jones, Owen Dennis","2016-03-05","1.08","8.2"
"213","7","22","Donut Factory Holiday","Robert Alvarez","Ryan Pequin, Nathan Bulmer","2016-03-12","1.02","8.4"
"214","7","23","Gymblonski","Robert Alvarez","Benton Connor, Sam Spina","2016-03-19","1.17","8.6"
"215","7","24","Guys Night 2","Robert Alvarez","Madeline Queripel, Alex Cline","2016-03-26","1","8.9"
"216","7","25","Gary's Synthesizer","Robert Alvarez","Owen Dennis, Casey Crowe","2016-04-02","1","9.4"
"217","7","26","California King","Robert Alvarez","Ryan Pequin","2016-04-09","1.1","8.6"
"218","7","27","Cube Bros","Robert Alvarez","Benton Connor, Sam Spina","2016-04-16","0.79","8.2"
"219","7","28","Maellard's Package","Robert Alvarez","Madeline Queripel, Alex Cline","2016-04-23","0.94","8"
"220","7","29","Rigby Goes to the Prom","Robert Alvarez","Toby Jones, Owen Dennis","2016-05-05","1.02","8.9"
"221","7","30","The Button","Robert Alvarez","Toby Jones, Owen Dennis","2016-05-12","1.4","8.4"
"222","7","31","Favorite Shirt","Robert Alvarez","Ryan Pequin","2016-05-19","1.17","8.1"
"223","7","32","Marvolo the Wizard","Robert Alvarez","Benton Connor, Sam Spina","2016-05-26","1.35","8.3"
"224","7","33","Pops' Favorite Planet","Robert Alvarez","Madeline Queripel, Alex Cline","2016-06-02","1.25","8.6"
"225","7","34","Pam I Am","Robert Alvarez","Casey Crowe, Gideon Chase","2016-06-02","1.25","8.4"
"226","7","35","Lame Lockdown","Robert Alvarez","Benton Connor, Sam Spina","2016-06-09","1.02","8.3"
"227","7","36","VIP Members Only","Robert Alvarez","Madeline Queripel, Alex Cline","2016-06-16","0.98","8.3"
"228","7","37","Deez Keys","Robert Alvarez","Casey Crowe, Gideon Chase","2016-06-23","1.18","8.3"
"229","7","38","Rigby's Graduation Day Special","Robert Alvarez","Toby Jones, Owen Dennis, Ryan Pequin, Minty Lewis","2016-06-30","1.1","9.5"
"230","7","39","Rigby's Graduation Day Special","Robert Alvarez","Toby Jones, Owen Dennis, Ryan Pequin, Minty Lewis","2016-06-30","1.1","9.5"
"231","8","1","One Space Day at a Time","Robert Alvarez","Owen Dennis, Sean Glaze","2016-09-26","1.14","8.4"
